Date,Price,Open,High,Low,Vol.,Change %
9/8/2023,137.2,135.87,137.51,135.87,17.82M,0.73%
9/11/2023,137.74,137.38,138.26,136.55,17.18M,0.39%
9/12/2023,136.07,137.13,137.64,135.93,15.21M,-1.21%
9/13/2023,137.5,135.9,137.7,134.93,16.39M,1.05%
9/14/2023,138.99,138.39,139.55,137.06,19.06M,1.08%
9/15/2023,138.3,138.8,139.36,137.18,48.96M,-0.50%
9/18/2023,138.96,137.63,139.93,137.63,16.23M,0.48%
9/19/2023,138.83,138.25,139.18,137.5,15.48M,-0.09%
9/20/2023,134.59,138.83,138.84,134.52,21.47M,-3.05%
9/21/2023,131.36,132.39,133.19,131.09,22.06M,-2.40%
9/22/2023,131.25,131.68,133.01,130.51,17.36M,-0.08%
9/25/2023,132.17,130.77,132.22,130.03,14.65M,0.70%
9/26/2023,129.45,130.91,131.4,128.19,20.38M,-2.06%
9/27/2023,131.46,129.44,131.72,129.38,18.76M,1.55%
9/28/2023,133.13,130.69,134.18,130.69,18.20M,1.27%
9/29/2023,131.85,134.08,134.89,131.32,23.24M,-0.96%
10/2/2023,135.17,132.15,135.36,132.07,19.21M,2.52%
10/3/2023,133.3,134.93,135.24,132.82,19.63M,-1.38%
10/4/2023,136.27,133.66,136.57,133.43,22.85M,2.23%
10/5/2023,135.99,136.13,136.5,134.46,15.92M,-0.21%
10/6/2023,138.73,134.94,139.19,134.94,20.83M,2.01%
10/9/2023,139.5,137.99,139.97,136.7,16.60M,0.56%
10/10/2023,139.2,139.51,140.74,138.43,19.55M,-0.22%
10/11/2023,141.7,139.85,142.22,139.84,20.15M,1.80%
10/12/2023,140.29,142.16,142.38,139.45,18.17M,-1.00%
10/13/2023,138.58,140.65,141.34,137.97,19.45M,-1.22%
10/16/2023,140.49,139.73,140.9,139.32,17.35M,1.38%
10/17/2023,140.99,140.03,141.25,138.53,17.42M,0.36%
10/18/2023,139.28,140.75,141.99,138.71,18.30M,-1.21%
10/19/2023,138.98,139.8,141.01,138.6,21.83M,-0.22%
10/20/2023,136.74,138.59,139.04,136.24,24.97M,-1.61%
10/23/2023,137.9,136.23,139.02,135.11,20.78M,0.85%
10/24/2023,140.12,139.16,140.71,138.75,26.54M,1.61%
10/25/2023,126.67,129.77,130.1,126.09,58.80M,-9.60%
10/26/2023,123.44,124.47,125.46,122.32,33.91M,-2.55%
10/27/2023,123.4,124.03,124.44,121.46,37.37M,-0.03%
10/30/2023,125.75,124.46,126.55,123.88,24.17M,1.90%
10/31/2023,125.3,126.27,126.56,123.93,21.12M,-0.36%
11/1/2023,127.57,125.34,127.74,124.93,26.54M,1.81%
11/2/2023,128.58,129.56,130.09,128.11,24.09M,0.79%
11/3/2023,130.37,129.09,130.73,129.01,19.53M,1.39%
11/6/2023,131.45,130.22,131.56,129.93,15.36M,0.83%
11/7/2023,132.4,131.98,133.28,131.14,19.22M,0.72%
11/8/2023,133.26,132.36,133.54,132.16,15.09M,0.65%
11/9/2023,131.69,133.36,133.96,131.51,17.98M,-1.18%
11/10/2023,134.06,131.53,134.27,130.87,20.88M,1.80%
11/13/2023,133.64,133.36,134.11,132.77,16.41M,-0.31%
11/14/2023,135.43,135.65,137.24,135.1,22.32M,1.34%
11/15/2023,136.38,136.64,136.84,135.33,15.84M,0.70%
11/16/2023,138.7,136.96,138.88,136.08,17.62M,1.70%
11/17/2023,136.94,137.82,138,135.48,25.59M,-1.27%
11/20/2023,137.92,135.5,138.43,135.49,19.59M,0.72%
11/21/2023,138.62,137.94,138.96,137.71,17.65M,0.51%
11/22/2023,140.02,139.1,141.1,139,17.31M,1.01%
11/24/2023,138.22,139.54,139.68,137.47,8.83M,-1.29%
11/27/2023,138.05,137.57,139.63,137.54,17.89M,-0.12%
11/28/2023,138.62,137.63,138.66,137.04,17.05M,0.41%
11/29/2023,136.4,138.99,139.67,136.29,21.01M,-1.60%
11/30/2023,133.92,136.4,136.96,132.79,29.91M,-1.82%
12/1/2023,133.32,133.32,133.5,132.15,24.27M,-0.45%
12/4/2023,130.63,131.29,131.45,129.4,24.12M,-2.02%
12/5/2023,132.39,130.37,133.54,129.73,19.24M,1.35%
12/6/2023,131.43,132.9,133.31,131.31,16.36M,-0.73%
12/7/2023,138.45,136.6,140,136.23,38.42M,5.34%
12/8/2023,136.64,135.66,137.99,135.57,23.02M,-1.31%
12/11/2023,134.7,133.82,134.79,132.89,24.50M,-1.42%
12/12/2023,133.64,133.27,134.54,132.83,26.58M,-0.79%
12/13/2023,133.97,134.54,134.78,132.95,25.41M,0.25%
12/14/2023,133.2,134.77,135.04,131.06,29.62M,-0.57%
12/15/2023,133.84,132.92,134.83,132.63,58.59M,0.48%
12/18/2023,137.19,133.86,138.38,133.77,25.70M,2.50%
12/19/2023,138.1,138,138.77,137.45,20.66M,0.66%
12/20/2023,139.66,140.33,143.08,139.41,33.51M,1.13%
12/21/2023,141.8,140.77,142.03,140.47,18.10M,1.53%
12/22/2023,142.72,142.13,143.25,142.05,18.51M,0.65%
12/26/2023,142.82,142.98,143.95,142.5,11.17M,0.07%
12/27/2023,141.44,142.83,143.32,141.05,17.29M,-0.97%
12/28/2023,141.28,141.85,142.27,140.83,12.19M,-0.11%
12/29/2023,140.93,140.68,141.43,139.9,14.88M,-0.25%
1/2/2024,139.56,139.6,140.61,137.74,20.07M,-0.97%
1/3/2024,140.36,138.6,141.09,138.43,18.97M,0.57%
